region,gr,84.004,84.010,84.011,84.013,84.041,84.060,84.141,84.144,84.149,84.165,84.184,84.196,84.215,84.282,84.287,84.295,84.299,84.330,84.336,84.350,84.351,84.354,84.356,84.358,84.360,84.362,84.363,84.365,84.366,84.367,84.368,84.369,84.371,84.374,84.377,year
indiana,0.878844115436843,684783,55048863,5454452,544027,5131729,0,0,0,0,0,0,1100098,2565231,11244742,19368595,0,0,471134,71900,0,0,0,0,1636866,0,0,0,8626992,2737044,9832205,0,7301270,0,6339199,9657282,2013
iowa,0.914814586466165,0,19869708,1595781,366742,445470,236541,0,0,0,0,3497658,399144,1757951,0,6346797,0,0,59175,0,0,0,0,0,1760123,1549950,0,0,4007761,925562,4636730,0,4942576,0,0,3170215,2013
kansas,0.866802970754826,651270,21905054,11449386,326962,24041066,1012850,899952,60000,760672,3999993,2442196,427021,1033993,0,7801016,0,0,99000,2277315,0,269412,0,0,3314232,0,0,699858,4744970,964805,4724944,0,4922102,0,0,4233023,2013
kentucky,0.889448606688726,0,44116852,7333629,925825,6353419,0,924544,60000,0,0,0,921811,4807189,0,15966756,0,0,473640,603451,1,0,0,0,4801538,0,0,1e+06,3945685,2108070,9312632,0,5725071,0,0,8080456,2013
louisiana,0.772232935447729,0,58224579,2450813,1746180,8616956,909399,433749,0,0,0,3451353,1228832,1081295,246150,20431937,0,0,158085,1109048,1409986,298451,0,0,3300474,0,0,589103,2985559,2508967,13501120,0,5962398,23574566,15460013,10103223,2013
maine,0.861509792014574,0,10573644,1159932,217118,1987115,157590,284394,0,0,0,0,215653,1027311,189834,5373453,0,0,80415,0,0,0,0,0,2149341,0,0,0,1107707,705964,2810384,0,3734161,0,0,1868943,2013
maryland,0.865128108224841,626357,37511663,501170,1584749,6661277,79998,459316,0,0,0,3533155,851922,1381772,216635,14474743,0,0,709357,0,297467,271552,0,0,218461,0,0,0,9677150,1430851,8385334,4999994,6609960,0,1132718,7127320,2013
massachusetts,0.871117161463054,0,46116119,1596165,2334655,399858,41736,0,60000,0,3850000,0,921195,6334573,4954853,15195793,0,299198,525874,0,0,0,0,0,324709,3402156,0,863083,14787366,1693130,10853174,0,6821273,0,12551257,7552762,2013
michigan,0.841905330817521,0,109275647,8486717,620547,19036216,1995844,466911,60000,816619,3396230,5997155,2143532,1946957,4718422,37489446,0,0,497000,0,0,0,0,0,4452862,50662,0,1649766,10576590,4388433,23691506,0,9238663,0,6865780,18597302,2013
minnesota,0.819978123555693,0,33921444,2052792,320745,19497888,3265230,0,60000,0,0,26397,639320,2226339,6255669,11644018,0,907908,0,0,217712,589150,0,0,2596214,0,0,597124,8067768,1446417,8106531,0,6422685,0,0,5755257,2013
mississippi,0.782198145285935,0,37503160,1027145,750217,1538263,458997,0,60000,0,1995391,0,726604,7682861,0,13137967,0,0,191233,0,806652,0,0,0,4790675,0,0,680606,1574363,1888163,8577194,0,4997608,0,4865301,6465129,2013
missouri,0.894925305602847,0,45724422,1503992,1355827,22785795,75811,416903,60000,411266,0,0,968886,2611449,0,16310153,0,0,169015,907356,0,0,0,0,7259141,1201187,0,428734,5808817,2358722,10229143,0,6778374,0,6886438,8044882,2013
montana,0.845841437436325,0,8304687,997723,97406,53962151,3189510,0,120000,0,0,0,188752,536831,0,5373453,0,2497325,44452,0,0,0,0,955205,2902311,0,0,0,1202571,705964,2736330,0,3593987,6184768,0,1605773,2013
nebraska,0.881950396916441,0,14329925,5047990,334619,25606546,874188,0,60000,0,0,0,287280,198216,0,5373453,0,806705,45000,0,0,0,0,0,2592424,814052,0,0,2935314,705964,2881991,0,4221562,0,0,2763072,2013
nevada,0.747227482128674,0,19671825,234489,450556,3378071,731006,0,120000,0,0,0,481627,0,0,8150469,0,0,335683,0,0,256702,0,0,81504,3456039,0,0,8442070,1134708,2958265,0,4771757,11789226,3074153,3996093,2013
new hampshire,0.886942405232248,0,8304687,144926,475744,4000,0,0,120000,0,0,0,175858,0,2789811,5373453,0,0,23055,0,0,0,0,0,1505205,0,0,0,1322709,705964,2810384,0,3770583,0,0,1412878,2013
new jersey,0.888782245539604,0,64387933,1944569,1429361,19174971,32866,0,60000,0,0,1250000,1219108,3661810,3369720,22201611,0,0,565335,2259525,217985,620347,0,0,1550822,0,0,1520620,21345074,2299423,13516455,0,8528824,0,0,10957647,2013
