region,long,lat,group,order,subregion,rho
north carolina,-75.5903244018555,35.84423828125,38,9569,knotts,0.611862917615694
north carolina,-75.5960464477539,35.8671569824219,38,9570,knotts,0.611862917615694
north carolina,-75.6075134277344,35.8900756835938,38,9571,knotts,0.611862917615694
north carolina,-75.6361541748047,35.9359130859375,38,9572,knotts,0.611862917615694
north carolina,-75.6648101806641,35.9702911376953,38,9573,knotts,0.611862917615694
north carolina,-75.6877212524414,35.9932098388672,38,9574,knotts,0.611862917615694
north carolina,-75.6877212524414,36.021858215332,38,9575,knotts,0.611862917615694
north carolina,-75.6991882324219,36.0275840759277,38,9576,knotts,0.611862917615694
north carolina,-75.7507553100586,36.0505027770996,38,9577,knotts,0.611862917615694
north carolina,-75.767936706543,36.1078033447266,38,9578,knotts,0.611862917615694
north carolina,-75.767936706543,36.165096282959,38,9579,knotts,0.611862917615694
north carolina,-75.8195037841797,36.2796859741211,38,9580,knotts,0.611862917615694
north carolina,-75.8424224853516,36.3770904541016,38,9581,knotts,0.611862917615694
north carolina,-75.8596115112305,36.4171943664551,38,9582,knotts,0.611862917615694
north carolina,-75.8653411865234,36.4630317687988,38,9583,knotts,0.611862917615694
north carolina,-75.8825302124023,36.4974136352539,38,9584,knotts,0.611862917615694
north carolina,-75.8939895629883,36.5547065734863,38,9585,knotts,0.611862917615694
north carolina,-78.5582427978516,33.8675346374512,39,9587,main,0.611862917615694
north carolina,-78.6384506225586,33.9477462768555,39,9588,main,0.611862917615694
north carolina,-79.0567169189453,34.3029823303223,39,9589,main,0.611862917615694
north carolina,-79.4463272094727,34.6123809814453,39,9590,main,0.611862917615694
north carolina,-79.4463272094727,34.6181106567383,39,9591,main,0.611862917615694
north carolina,-79.6755065917969,34.801456451416,39,9592,main,0.611862917615694
north carolina,-79.6927032470703,34.807186126709,39,9593,main,0.611862917615694
north carolina,-79.9104232788086,34.807186126709,39,9594,main,0.611862917615694
north carolina,-80.3229598999024,34.812915802002,39,9595,main,0.611862917615694
north carolina,-80.5406723022461,34.812915802002,39,9596,main,0.611862917615694
north carolina,-80.7813186645508,34.8186454772949,39,9597,main,0.611862917615694
north carolina,-80.7755966186524,34.9275093078613,39,9598,main,0.611862917615694
north carolina,-80.8615341186524,35.0249099731445,39,9599,main,0.611862917615694
north carolina,-80.9073715209961,35.082202911377,39,9600,main,0.611862917615694
north carolina,-80.9417495727539,35.116584777832,39,9601,main,0.611862917615694
north carolina,-81.0391464233399,35.0592842102051,39,9602,main,0.611862917615694
north carolina,-81.0563430786133,35.082202911377,39,9603,main,0.611862917615694
north carolina,-81.0563430786133,35.0993957519531,39,9604,main,0.611862917615694
